전국,수도권,서울,,국고채?3년(평균),국고채?5년(평균),국고채?10년(평균),회사채?3년(평균),CD?91물(평균),"콜금리(1일물,평균)",기준금리
117.1,132.3,158,202011월,0.97,1.30,1.61,2.25,0.66,0.49,0.5
120,135.4,161.3,202012월,0.97,1.32,1.68,2.21,0.66,0.51,0.5
123,140.1,166.4,202101월,0.98,1.32,1.73,2.14,0.68,0.49,0.5
125.2,143.4,168.7,202102월,1.00,1.35,1.85,2.06,0.73,0.49,0.5
126.8,146,169.3,202103월,1.13,1.55,2.04,2.09,0.75,0.49,0.5
128.5,148.4,170.7,202104월,1.14,1.58,2.04,1.98,0.74,0.48,0.5
130.7,152,173.7,202105월,1.13,1.65,2.13,1.89,0.68,0.48,0.5
133.6,156.6,177.6,202106월,1.30,1.70,2.10,1.91,0.66,0.51,0.5
136.8,161.5,181.6,202107월,1.42,1.69,1.98,1.89,0.69,0.53,0.5
140,166.5,185,202108월,1.41,1.65,1.91,1.84,0.77,0.56,0.75
142.6,170.2,187.7,202109월,1.52,1.79,2.06,1.95,0.98,0.77,0.75
144.1,171.9,188.3,202110월,1.84,2.15,2.40,2.30,1.08,0.74,0.75
143.1,170.2,184.8,202111월,1.95,2.17,2.36,2.49,1.17,0.80,1
141.7,167.9,182.3,202112월,1.80,1.98,2.19,2.41,1.27,1.01,1
140.9,166.2,181.3,202201월,2.06,2.28,2.49,2.63,1.39,1.19,1.25
140.5,165.5,179.2,202202월,2.29,2.50,2.69,2.87,1.50,1.22,1.25
141,166.5,181.2,202203월,2.37,2.60,2.78,3.03,1.50,1.24,1.25
141.7,167.2,183.1,202204월,2.94,3.14,3.22,3.63,1.64,1.30,1.5
140.3,165.1,180.4,202205월,3.02,3.23,3.30,3.78,1.77,1.51,1.75
139.5,163.6,180.3,202206월,3.48,3.65,3.64,4.23,1.99,1.75,1.75
135.8,157.6,173.1,202207월,3.24,3.30,3.30,4.13,2.41,1.97,2.25
132.9,153.1,167.9,202208월,3.25,3.30,3.32,4.23,2.79,2.26,2.5
130,148.2,163.9,202209월,3.90,3.94,3.90,4.90,3.01,2.53,2.5
125.6,141.3,156.1,202210월,4.24,4.29,4.27,5.44,3.69,2.96,3
120.5,134.2,146.7,202211월,3.90,3.95,3.92,5.49,3.99,3.10,3.25
117.3,130,141.9,202212월,3.63,3.59,3.54,5.30,4.02,3.24,3.25
116.4,129.3,143.2,202301월,3.46,3.42,3.41,4.70,3.80,3.27,3.5
117.6,131.5,146.1,202302월,3.47,3.47,3.45,4.27,3.52,3.43,3.5
118.9,133.6,148.3,202303월,3.46,3.45,3.45,4.18,3.61,3.43,3.5
119.9,135.3,150.8,202304월,3.26,3.25,3.32,4.07,3.50,3.47,3.5
