1,2,3,4,5,6,보너스,합계,최소값,최대값,평균값
14,23,30,32,34,38,6,171,,,
1,9,12,28,36,41,10,127,,,
2,8,23,41,43,44,30,161,,,
2,11,12,15,23,37,8,100,,,
1,15,20,26,35,42,9,139,,,
5,8,21,23,27,33,12,117,,,
4,5,9,13,26,27,1,84,,,
3,7,14,23,26,42,24,115,,,
12,29,32,33,39,40,42,185,,,
12,25,29,35,42,43,24,186,,,
5,27,31,34,35,43,37,175,,,
12,13,32,33,40,41,4,171,,,
6,9,11,22,24,30,31,102,,,
7,20,22,25,38,40,44,152,,,
6,14,22,26,43,44,31,155,,,
1,5,27,30,34,36,40,133,,,
6,22,28,32,34,40,26,162,,,
1,4,10,17,31,42,2,105,,,
3,4,12,20,24,34,41,97,,,
5,20,23,27,35,40,43,150,,,
13,14,24,32,39,41,3,163,,,
19,20,23,24,43,44,13,173,,,
4,13,20,29,36,41,39,143,,,
4,13,22,27,34,44,6,144,,,
5,7,8,15,30,43,22,108,,,
20,22,26,33,36,37,25,174,,,
22,27,31,35,37,40,42,192,,,
8,17,35,36,39,42,4,177,,,
2,7,26,29,40,43,42,147,,,
2,4,8,15,20,27,11,76,,,
2,8,17,30,31,38,25,126,,,
4,8,25,27,37,41,21,142,,,
1,2,23,25,38,40,43,129,,,
17,22,26,27,36,39,20,167,,,
1,3,27,28,32,45,11,136,,,
12,15,19,22,28,34,5,130,,,
1,10,16,24,25,35,43,111,,,
3,4,23,29,40,41,20,140,,,
3,5,10,17,30,31,16,96,,,
8,23,25,27,35,44,24,162,,,
18,29,30,37,39,43,8,196,,,
14,25,29,32,33,45,37,178,,,
9,12,13,15,37,38,27,124,,,
1,9,14,16,21,29,3,90,,,
4,13,18,31,33,45,43,144,,,
8,13,20,22,23,36,34,122,,,
16,25,26,31,36,43,44,177,,,
6,13,29,37,39,41,43,165,,,
10,16,20,39,41,42,27,168,,,
4,21,22,34,37,38,33,156,,,
8,13,15,28,37,43,17,144,,,
2,12,14,17,24,40,39,109,,,
4,10,13,23,32,44,20,126,,,
1,8,11,13,22,38,31,93,,,
6,12,15,34,42,44,4,153,,,
23,29,31,33,34,44,40,194,,,
3,20,24,32,37,45,4,161,,,
11,18,26,31,37,40,43,163,,,
8,11,28,30,43,45,41,165,,,
4,6,10,14,25,40,12,99,,,
4,9,10,32,36,40,18,131,,,
8,10,18,23,27,40,33,126,,,
1,7,12,18,23,27,44,88,,,
4,19,20,26,30,35,24,134,,,
