,전국,수도권,서울,국고채3년(평균),국고채5년(평균),국고채10년(평균),회사채3년(평균),CD91물(평균),"콜금리(1일물,평균)",기준금리
201610,98.80 ,96.50 ,91.60 ,1.36,1.41,1.60,1.78,1.35,1.23,1.25 
201611,98.90 ,96.60 ,91.80 ,1.61,1.74,1.97,2.02,1.42,1.23,1.25 
201612,98.60 ,96.20 ,91.20 ,1.69,1.87,2.16,2.16,1.54,1.23,1.25 
201701,98.30 ,95.90 ,91.00 ,1.64,1.82,2.11,2.10,1.50,1.24,1.25 
201702,98.50 ,95.90 ,91.00 ,1.67,1.86,2.16,2.13,1.49,1.23,1.25 
201703,98.70 ,96.30 ,91.70 ,1.71,1.91,2.22,2.21,1.48,1.23,1.25 
201704,98.60 ,96.40 ,92.00 ,1.68,1.86,2.18,2.20,1.43,1.23,1.25 
201705,98.90 ,97.00 ,93.40 ,1.70,1.91,2.26,2.22,1.40,1.23,1.25 
201706,99.40 ,98.10 ,95.30 ,1.67,1.86,2.17,2.21,1.38,1.24,1.25 
201707,100.10 ,99.30 ,97.80 ,1.74,1.94,2.25,2.28,1.39,1.24,1.25 
201708,100.20 ,99.70 ,98.00 ,1.78,1.99,2.29,2.32,1.39,1.23,1.25 
201709,100.30 ,99.80 ,98.30 ,1.79,1.99,2.29,2.33,1.38,1.25,1.25 
201710,100.30 ,100.20 ,99.40 ,2.03,2.25,2.46,2.57,1.38,1.24,1.25 
201711,100.00 ,100.00 ,100.00 ,2.15,2.36,2.54,2.71,1.45,1.26,1.50 
201712,99.60 ,99.90 ,100.90 ,2.10,2.30,2.47,2.65,1.66,1.51,1.50 
201801,99.80 ,100.70 ,103.00 ,2.19,2.44,2.63,2.72,1.66,1.49,1.50 
201802,100.10 ,101.50 ,104.80 ,2.28,2.54,2.77,2.82,1.65,1.49,1.50 
201803,100.20 ,102.00 ,106.10 ,2.27,2.50,2.71,2.83,1.65,1.49,1.50 
201804,100.20 ,102.40 ,107.40 ,2.19,2.44,2.66,2.79,1.65,1.47,1.50 
201805,99.90 ,102.40 ,107.90 ,2.25,2.53,2.76,2.86,1.65,1.50,1.50 
201806,99.70 ,102.50 ,108.60 ,2.18,2.44,2.66,2.81,1.65,1.49,1.50 
201807,99.60 ,103.10 ,110.20 ,2.10,2.34,2.55,2.75,1.65,1.49,1.50 
201808,100.80 ,105.50 ,115.00 ,2.02,2.24,2.46,2.66,1.65,1.50,1.50 
201809,102.20 ,108.30 ,121.50 ,1.95,2.13,2.32,2.40,1.65,1.54,1.50 
201810,102.40 ,108.80 ,122.40 ,2.01,2.16,2.34,2.45,1.68,1.52,1.50 
201811,101.60 ,107.80 ,120.60 ,1.94,2.05,2.21,2.40,1.71,1.51,1.75 
